Tour ID,Tour Name,Date,Status,Spots Available,Notes
1,Alpine Adventure Trek,2026-04-04,available,12,Spring alpine season opens
1,Alpine Adventure Trek,2026-04-18,available,10,
1,Alpine Adventure Trek,2026-05-02,available,12,
1,Alpine Adventure Trek,2026-05-16,available,10,
1,Alpine Adventure Trek,2026-05-30,available,12,
1,Alpine Adventure Trek,2026-06-06,available,12,
1,Alpine Adventure Trek,2026-06-20,limited,5,Peak season starting
1,Alpine Adventure Trek,2026-07-04,sold-out,0,Fully booked - peak summer
1,Alpine Adventure Trek,2026-07-11,sold-out,0,Fully booked - peak summer
1,Alpine Adventure Trek,2026-07-18,limited,3,Almost full
1,Alpine Adventure Trek,2026-07-25,available,8,
1,Alpine Adventure Trek,2026-08-01,limited,4,School holidays - popular
1,Alpine Adventure Trek,2026-08-08,sold-out,0,Fully booked
1,Alpine Adventure Trek,2026-08-15,limited,2,Only 2 spots left!
1,Alpine Adventure Trek,2026-08-22,available,10,
1,Alpine Adventure Trek,2026-08-29,available,12,
1,Alpine Adventure Trek,2026-09-05,available,12,Beautiful autumn colours begin
1,Alpine Adventure Trek,2026-09-19,available,10,
1,Alpine Adventure Trek,2026-10-03,available,10,Autumn foliage peak
1,Alpine Adventure Trek,2026-10-17,available,8,Last autumn departures
1,Alpine Adventure Trek,2026-10-31,limited,4,Final departure of the season
2,Bali Island Paradise,2026-04-06,available,14,
2,Bali Island Paradise,2026-04-20,available,12,
2,Bali Island Paradise,2026-05-04,available,14,
2,Bali Island Paradise,2026-05-18,available,12,
2,Bali Island Paradise,2026-06-01,available,14,
2,Bali Island Paradise,2026-06-15,available,12,
2,Bali Island Paradise,2026-06-29,available,14,
2,Bali Island Paradise,2026-07-06,limited,5,School holidays season
2,Bali Island Paradise,2026-07-13,sold-out,0,Fully booked - peak holiday
2,Bali Island Paradise,2026-07-20,limited,3,Very limited availability
2,Bali Island Paradise,2026-07-27,sold-out,0,Fully booked
2,Bali Island Paradise,2026-08-03,available,14,
2,Bali Island Paradise,2026-08-10,limited,6,Popular month
2,Bali Island Paradise,2026-08-17,available,12,
2,Bali Island Paradise,2026-08-24,available,14,
2,Bali Island Paradise,2026-09-07,available,14,
2,Bali Island Paradise,2026-09-21,available,12,
2,Bali Island Paradise,2026-10-05,available,14,
2,Bali Island Paradise,2026-10-19,available,12,
2,Bali Island Paradise,2026-11-02,available,14,
2,Bali Island Paradise,2026-11-16,available,12,
2,Bali Island Paradise,2026-11-30,available,14,
2,Bali Island Paradise,2026-12-07,limited,6,Festive season
2,Bali Island Paradise,2026-12-14,limited,4,Christmas period - popular
2,Bali Island Paradise,2026-12-21,sold-out,0,Fully booked - New Year
3,Japanese Cultural Journey,2026-04-07,limited,2,Cherry blossom PEAK - almost full!
3,Japanese Cultural Journey,2026-04-14,sold-out,0,Fully booked - cherry blossom peak
3,Japanese Cultural Journey,2026-04-21,available,10,Late spring sakura
3,Japanese Cultural Journey,2026-05-05,available,10,Golden Week - book early
3,Japanese Cultural Journey,2026-05-19,available,8,
3,Japanese Cultural Journey,2026-06-02,available,10,
3,Japanese Cultural Journey,2026-06-16,available,8,
3,Japanese Cultural Journey,2026-07-07,available,10,
3,Japanese Cultural Journey,2026-08-04,available,8,Summer festivals season
3,Japanese Cultural Journey,2026-09-01,available,10,
3,Japanese Cultural Journey,2026-09-15,available,10,Autumn begins
3,Japanese Cultural Journey,2026-10-06,available,10,Autumn foliage begins
3,Japanese Cultural Journey,2026-10-20,limited,4,Peak autumn colours
3,Japanese Cultural Journey,2026-11-03,sold-out,0,Fully booked - peak autumn foliage
3,Japanese Cultural Journey,2026-11-10,limited,3,Beautiful autumn colours
3,Japanese Cultural Journey,2026-11-17,available,10,
3,Japanese Cultural Journey,2026-12-01,available,8,Winter illuminations
3,Japanese Cultural Journey,2026-12-15,available,10,
4,Dubai Luxury Escape,2026-04-03,available,8,Perfect spring weather
